LOCPOST;timestamp;total_rows;reconstructed_rows;volume_TOTAL;volume_PW;volume_VR;volume_PAE;vol_rec_total;vol_rec_kl_gaten;vol_rec_geslvak;vol_rec_typed;avg_availability;pct_rows_reconstructed;pct_vol_reconstructed;pct_vol_reco_kl_gaten;pct_vol_reco_geslvak;pct_vol_reco_typed
154202;2026-03-25;1;1;10085;9018;1067;11152.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
154301;2026-03-25;1;1;23169;14088;9081;32250.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
154401;2026-03-25;1;1;23027;14117;8910;31937.0;690.81;690.81;0.0;0.0;100.0;100.0;3.0;3.0;0.0;0.0
154501;2026-03-25;1;1;22887;14431;8456;31343.0;228.87;228.87;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
158201;2026-03-25;1;1;19001;15177;3824;22825.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
159201;2026-03-25;1;1;23534;14300;9234;32768.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
159202;2026-03-25;1;0;23711;14116;9595;33306.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
159301;2026-03-25;1;0;23699;14303;9396;33095.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
159302;2026-03-25;1;1;23787;14074;9713;33500.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
159401;2026-03-25;1;1;23564;14328;9236;32800.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
159402;2026-03-25;1;0;23632;14033;9599;33231.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
159501;2026-03-25;1;1;23071;13044;10027;33098.0;5767.75;0.0;5767.75;0.0;100.0;100.0;25.0;0.0;25.0;0.0
159502;2026-03-25;1;1;25491;15063;10428;35919.0;6372.75;0.0;0.0;6372.75;100.0;100.0;25.0;0.0;0.0;25.0
159601;2026-03-25;1;1;30786;22816;7970;38756.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
159602;2026-03-25;1;0;1386;840;546;1932.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
159603;2026-03-25;1;0;1578;1202;376;1954.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
159701;2026-03-25;1;1;24697;14952;9745;34442.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
159702;2026-03-25;1;1;25391;15049;10342;35733.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
159801;2026-03-25;1;0;2076;2039;37;2113.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
159803;2026-03-25;1;0;30235;22459;7776;38011.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
159804;2026-03-25;1;1;32158;24143;8015;40173.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
169601;2026-03-25;1;1;23659;14291;9368;33027.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
169602;2026-03-25;1;1;23749;14063;9686;33435.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
169701;2026-03-25;1;0;23580;14224;9356;32936.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
169702;2026-03-25;1;0;23683;14116;9567;33250.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
190001;2026-03-25;1;1;6250;4566;1684;7934.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
190002;2026-03-25;1;0;4007;3574;433;4440.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
190005;2026-03-25;1;1;22309;14075;8234;30543.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
190006;2026-03-25;1;1;20364;12986;7378;27742.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
190101;2026-03-25;1;1;26486;18074;8412;34898.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
